tempo,medicos_disponiveis,salas_disponiveis,leitos_disponiveis
0,3,2,5
0.51,0,2,5
1.02,0,2,5
1.54,0,2,5
2.05,0,2,5
2.56,0,2,5
3.07,0,2,5
3.59,0,2,5
4.1,0,2,5
4.61,0,2,5
5.13,0,2,5
5.64,0,2,5
6.16,0,2,5
6.67,0,2,5
7.18,0,2,5
7.69,0,2,5
8.21,0,2,5
8.72,0,2,5
9.23,0,2,5
9.75,0,2,5
10.26,0,2,5
10.77,0,2,5
11.29,0,2,5
11.8,0,2,5
12.31,0,2,5
12.82,0,2,5
13.34,0,2,5
13.85,0,2,5
14.36,0,2,5
14.88,0,2,5
15.39,0,2,5
15.9,0,2,5
16.41,0,2,5
16.92,0,2,5
17.43,0,2,5
17.95,0,2,5
18.46,0,2,5
18.98,0,2,5
19.49,0,2,5
20,0,2,5
20.52,3,2,5
21.03,3,2,5
21.54,3,2,5
22.05,3,2,5
22.57,3,2,5
23.08,3,2,5
23.59,3,2,5
24.11,3,2,5
24.62,3,2,5
25.14,3,2,5
25.65,3,2,5
26.16,3,2,5
26.68,3,2,5
27.19,3,2,5
27.7,3,2,5
28.21,3,2,5
28.72,3,2,5
29.23,3,2,5
29.75,3,2,5
30.26,0,0,5
30.77,0,0,5
31.28,0,0,5
31.79,0,0,5
32.3,0,0,5
32.82,0,0,5
33.33,0,0,5
33.84,0,0,5
34.35,0,0,5
34.86,0,0,5
35.38,0,0,5
35.89,0,0,5
36.4,0,0,5
36.91,0,0,5
37.43,0,0,5
37.94,0,0,5
38.45,0,0,5
38.97,0,0,5
39.48,0,0,5
39.99,0,0,5
40.5,0,0,5
41.01,0,0,5
41.53,0,0,5
42.04,0,0,5
42.55,0,0,5
43.06,0,0,5
43.58,0,0,5
44.09,0,0,5
44.6,0,0,5
45.12,0,0,5
45.63,2,0,3
46.14,2,0,3
46.66,2,0,3
47.17,2,0,3
47.68,2,0,3
48.2,2,0,3
48.71,2,0,3
49.22,2,0,3
49.74,2,0,3
50.25,2,0,3
50.76,2,0,3
51.27,2,0,3
51.79,2,0,3
52.3,2,0,3
52.81,2,0,3
53.33,2,0,3
53.84,2,0,3
54.35,2,0,3
54.86,2,0,3
55.38,3,0,2
55.89,3,0,2
56.4,3,0,2
56.92,3,0,2
57.43,3,0,2
57.94,3,0,2
58.46,3,0,2
58.96,3,0,2
59.48,3,0,2
59.99,3,0,2
60.5,3,2,2
61.01,3,2,2
61.53,3,2,2
62.04,3,2,2
62.55,3,2,2
63.06,3,2,2
63.58,3,2,2
64.09,3,2,2
64.6,3,2,2
65.11,3,2,2
65.62,3,2,0
66.14,3,2,0
66.65,3,2,0
67.16,3,2,0
67.67,3,2,0
68.18,3,2,0
68.7,3,2,0
69.21,3,2,0
69.72,3,2,0
70.23,3,2,0
70.75,3,2,0
71.25,3,2,0
71.76,3,2,0
72.27,3,2,0
72.79,3,2,0
73.3,3,2,0
73.81,3,2,0
74.32,3,2,0
74.84,3,2,0
75.35,3,2,0
75.86,3,2,0
76.37,3,2,0
76.89,3,2,0
77.4,3,2,0
77.91,3,2,0
78.43,3,2,0
78.94,3,2,0
79.45,3,2,0
79.97,3,2,0
80.48,3,2,2
80.99,3,2,2
81.51,3,2,2
82.02,3,2,2
82.53,3,2,2
83.05,3,2,2
83.56,3,2,2
84.08,3,2,2
84.59,3,2,2
85.1,3,2,2
85.61,3,2,3
86.12,3,2,3
86.64,3,2,3
87.15,3,2,3
87.66,3,2,3
88.17,3,2,3
88.69,3,2,3
89.2,3,2,3
89.71,3,2,3
90.22,3,2,5
90.73,3,2,5
91.24,3,2,5
91.76,3,2,5
92.27,3,2,5
92.78,3,2,5
93.3,3,2,5
93.81,3,2,5
94.32,3,2,5
94.83,3,2,5
95.35,3,2,5
